id_articulo,articulo,Moneda_precio,precio_venta1,Marca
1,PANETONCITO X 12,S/.,0,EM
2,MINI GN  X 40 SURTIDO,S/.,0,SAN JORGE
3,MINI GELATINA CJ X 410 UND,S/.,0,IMPORTADOS
4,M Y M MINIS X 12KL,S/.,0,PERU FARMA
5,MOROCHA STIK 14 X 6,S/.,0,NESTLÉ
6,soda sayon x 10,S/.,2.5,SAYON
7,SNICKERS  X 48 UN X 52.7 GR,S/.,2.5,PERU FARMA
8,M Y M X 48,S/.,0,PERU FARMA
9,WOZO  GALACTIC X 24 UND,S/.,0,WAYKI
10,HUEVITO MINI WOZO  CJ X 48 UND.,S/.,0,WAYKI
11,MOROCHA WAFER 27X 6,S/.,0,NESTLÉ
12,PRINCESA BARRA 28 X 20 X 30GR,S/.,0,NESTLÉ
13,YO YO,S/.,0,HERBI
14,SORRENTO 30X20X32 GR,S/.,0,NESTLÉ
15,PANETON DONOFRIO BL. 6 X 900GR,S/.,0,NESTLÉ
16,PANETON BUON NATALE BOLSA 6 X 800GR,S/.,0,NESTLÉ
17,TRIANGULO BARRA 22X200GR,S/.,0,NESTLÉ
18,PANETON CHOCOTON CJ 6X500gr,S/.,0,NESTLÉ PERU
19,SUBLIME CLASICO 27 X 24,S/.,0,NESTLÉ
20,TRIANGULO CLAS. 24 X 22 X 30gr,S/.,0,NESTLÉ
21,PANETON DONOFRIO CJA 6X900GRMS,S/.,0,NESTLÉ
22,SUBLIME SONRISA BLANCO 21 X 12 X 40GR,S/.,0,NESTLÉ
23,TRIANGULO MARMOLEADO 24 X 22 X 33GR,S/.,0,NESTLÉ
24,MINI MANI 28 X 12,S/.,0,NESTLÉ
25,MORCHA TACO X 56,S/.,0,NESTLÉ
26,Princesa blanco bl. 18 X 18 x 8gr,S/.,0,NESTLÉ
27,PRINCESA CORAZON X 144GR,S/.,0,NESTLÉ PERU
28,SUBLIME BOLSA 15X18X8GR,S/.,0,NESTLÉ
29,TRIANGULO DOY PACK 12 X 18 X 8 GR,S/.,0,NESTLÉ
30,PANETON CHOCOTON MANJAR6X500gr,S/.,0,NESTLÉ PERU
31,PANETON CHOCOTON VAINILLA6X500gr,S/.,0,NESTLÉ PERU
32,PANETON CHOCOTON BL 6X500gr,S/.,0,NESTLÉ PERU
33,PRINCESA LATA 15X18X8GR,S/.,0,NESTLÉ PERU
34,KIT KAT PAPA NOEL  9X6X29GR,S/.,0,NESTLÉ PERU
35,MOROCHAS 18X8X30GR,S/.,0,NESTLÉ PERU
36,SODA PLAIN X 4 PK X 6,S/.,2,ALICORP SA
37,PRINGLES 12X37GR,S/.,0,PERU FARMA
38,SODA PLAIN X 20 UN X 100 GR.,S/.,1,ALICORP SA
39,AMBROSIA X 36 BL X 240 GR.,S/.,0,AMBROSOLI
40,MIX SODA X 35 BL X 60,S/.,3,AMBROSOLI
41,TURRUNAZO X 20 BL X 100,S/.,5,AMBROSOLI
